"ISO.Code","IMFcode","Country.Name","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20"
"BRA",223,"Brazil",0.270611128547907,0.0334324045250977,0.25409432890595,-0.405557444943194,1.00756520148344,0.139919594200861,0.00749906769559896,0.0577521529489352,0.162234229231286,0.0668556743620812,0.0531072992058976,8.26476367121742e-06,1.08381764531984e-05,0.0124254100747649,0,1,3,3,2,3
"CHL",228,"Chile",0.0218585797402653,0.0226448162533241,0.0415781491983397,0.359090904202511,1.19105352149962,0.137726189139541,0.00704165449244424,0.0405226075636672,0.144270783092572,0.0482887494537687,0.873897037324068,0.00130064478482583,0.304868857448148,0.012810065535459,0,0,3,0,2,3
"COL",233,"Colombia",0.290032292769798,0.0158978104457993,0.259808421491475,0.0374750769253448,0.831911108137217,0.133591525488426,0.00618538974532207,0.0900970149952919,0.144806864375058,0.107166763209333,0.0299282918409398,0.0101634043115757,0.00393093109715004,0.795794564427147,8.21565038222616e-15,2,2,3,0,3
"CRI",238,"Costa Rica",0.743638049401439,0.00783404090798695,0.166549964956297,0.0609818887372491,0.917955046257594,0.163928651468179,0.0066810163492875,0.0928837287027197,0.193706828294589,0.107307968455103,5.72356491401749e-06,0.240963387379491,0.0729566757211371,0.752901833605985,0,3,0,1,0,3
"DOM",243,"Dominican Rep.",0.15013938968013,0.0365478266029632,0.0985398668063195,-0.104129424864837,0.765549637264692,0.139144186565664,0.00582346635627411,0.0577421565619245,0.14318890920979,0.051110093116326,0.280578717505908,3.47489370611243e-10,0.0879057590920784,0.46709296581873,0,0,3,1,0,3
"ECU",248,"Ecuador",0.150833006890776,0.0218849778897844,0.00690351486118694,0.126993475586084,0.986429096080499,0.176357410343561,0.00826832841486297,0.0850297550336716,0.166816736661507,0.098143480097441,0.392402305063145,0.00812467526753946,0.935291328626672,0.446492599096795,0,0,3,0,0,3
"GTM",258,"Guatemala",0.51873438583956,0.0046633635689648,0.487879358328861,-0.120819526972467,0.661456691154317,0.113277627018011,0.00548502572301101,0.0919528619733518,0.129655031600014,0.108827706132484,4.6649234772822e-06,0.395214438941734,1.1220757678565e-07,0.351412113994231,1.21677556919053e-09,3,0,3,0,3
"HND",268,"Honduras",0.764261186145246,0.0155639467619328,0.178877915935647,-0.233522305894056,0.618846801263384,0.15216471523188,0.0062254574117421,0.0801800222755643,0.166034486789733,0.0678719031877937,5.09789303881902e-07,0.0124176232017115,0.025684197259793,0.159584997820702,0,3,2,2,0,3
"MEX",273,"Mexico",-0.047846110018798,0.0406498028760529,0.101979779750505,-0.0802199134312388,1.14895923831328,0.119066505898356,0.00530846036483977,0.0553720911725995,0.111716380182215,0.0724410615592112,0.687799153156066,1.88737914186277e-14,0.0655164026297055,0.472715604051989,0,0,3,1,0,3
"PAN",283,"Panama",0.124870190921655,0.0336164366642997,0.206619360826095,0.0930377226051735,0.916034554249786,0.152852590295029,0.00755103492978078,0.0518235015123263,0.148746583081403,0.0538420473320752,0.413967219731062,8.51146305436146e-06,6.69191378259715e-05,0.531657350824917,0,0,3,3,0,3
"PRY",288,"Paraguay",0.0466151950495587,0.0393309070568629,0.167783689139002,-0.114227110615872,0.963876707320075,0.0737005112915429,0.00378298286366184,0.0401544461511898,0.0714077598536971,0.0428262278326151,0.527063561848488,0,2.93491461029749e-05,0.109677220908818,0,0,3,3,0,3
"PER",293,"Peru",-0.276592800616458,0.0448284732679984,0.168521070157526,0.0303554145977003,1.09440504646023,0.123003945107145,0.00632220300402255,0.0317834431454117,0.117240963401422,0.0407603781812171,0.0245347832651872,1.33493216480929e-12,1.14437132214817e-07,0.795701018162898,0,2,3,3,0,3
"URY",298,"Uruguay",0.196392281771011,0.0109216204092555,0.186105439693314,-0.0448412421025543,0.98614363205159,0.111335254338656,0.00505392241326024,0.0443926420305265,0.104675226520198,0.0537110091119054,0.0777366775574668,0.0306939015675718,2.76190787023012e-05,0.668371224783159,0,1,2,3,0,3
"VEN",299,"Venezuela, Rep. Bolivariana de",0.108114418914921,0.0222155796983856,0.178701876451628,0.14474396595064,1.04292526847825,0.151812116121162,0.0089258455305852,0.0305008261238411,0.164656163861102,0.0313357364029625,0.476366101842671,0.0128137275644253,4.65889238299155e-09,0.379364402753166,0,0,2,3,0,3
"BRB",316,"Barbados",0.995999793054917,-0.0240823072226482,-0.0144782849927169,0.272808656052173,0.38630487003576,0.227505035392853,0.00834174822326762,0.118510693484832,0.228938658581973,0.110298766045365,1.19815020365177e-05,0.00388981637914476,0.902765497158501,0.233408956937022,0.000461173582400276,3,3,0,0,3
"JAM",343,"Jamaica",0.329461658883316,0.000631682962341455,0.073839714641438,0.0939892423807733,0.834151511571343,0.163656181775265,0.00637212290981296,0.0743549413264018,0.160988961138235,0.0813631984252753,0.04410064023849,0.921033256302044,0.320675494906032,0.559338632794844,0,2,0,0,0,3
"TTO",369,"Trinidad and Tobago",-0.144065845074238,0.0403909052346526,0.127818234383484,-0.228263061670214,0.873029637788643,0.16029713970382,0.0075717016029733,0.0479196002016643,0.158758622570891,0.0535429917680123,0.36878985703505,9.58316870303122e-08,0.00764525360435786,0.150490962871881,0,0,3,3,0,3
"CYP",423,"Cyprus",0.449846343314339,0.015240789869877,0.259230155480142,-0.483417003407416,1.18073274988384,0.183706710257648,0.00583486874862943,0.0452477929783249,0.189479514273414,0.058218546170568,0.0143364744462662,0.00900091688019478,1.00951389470083e-08,0.0107325284135653,0,2,3,3,2,3
"IRN",429,"Iran, Islamic Rep. of",-0.170549829051378,0.0559569553983795,0.100100912135932,-0.118344036327942,1.10137690166474,0.117455071209287,0.00757903503656256,0.0232668544429269,0.123735414189638,0.0263496662545698,0.146489613618233,1.54543045027822e-13,1.69036712669435e-05,0.338855955965071,0,0,3,3,0,3
"ISR",436,"Israel",0.25915175776441,0.0220498762888454,0.209063851773669,-0.0517757937883027,0.797686573438582,0.130074661003298,0.00596044183651066,0.0792291645317068,0.150064249112149,0.0907077408796635,0.0463347707902693,0.000216135804075979,0.00832188450930826,0.730076196178636,0,2,3,3,0,3
"JOR",439,"Jordan",0.0777154033917595,0.0520685968387924,0.11120125363237,-0.0176107362627429,1.01278936409079,0.152826471148966,0.00801649396745028,0.0362209122500816,0.163383158339919,0.0421730793253753,0.611088320952647,8.29323276718696e-11,0.00213998367205082,0.91416389898126,0,0,3,3,0,3
"EGY",469,"Egypt, Arab Rep. of",-0.0631309493372387,0.0764563642334726,0.0596979242515925,-0.520149369584164,0.63773721249842,0.151945564301908,0.00803873345528966,0.0784827880192981,0.160126066056789,0.0911811478830638,0.677787632825477,0,0.446866211092959,0.00116066550512217,2.66808797277918e-12,0,3,0,3,3
"LKA",524,"Sri Lanka",0.281445069167477,0.0178021357054817,0.318954030606356,0.0187282305118406,0.544660215280954,0.165014862281729,0.0104123204465459,0.103079228367306,0.16640862699834,0.111785554449624,0.088087411839443,0.0873179612124819,0.0019730386664627,0.910392379789417,1.10269243291938e-06,1,1,3,0,3
"HKG",532,"China, P.R.: Hong Kong",0.111172263373789,0.0296023054144093,0.0126186690667344,0.0948114516692009,0.930466430774203,0.0952486266603681,0.00574987231087555,0.050147492537619,0.0900017796185883,0.0520817624803408,0.2431378075516,2.62799915606848e-07,0.801326212102101,0.292139496983195,0,0,3,0,0,3
"IND",534,"India",0.100062818900302,0.0402046347298873,0.0324841199222286,-0.0065870382300323,0.968034194757312,0.0622951146848124,0.00339644745071645,0.0313409044848511,0.0596695612393751,0.0297300818112123,0.108214440122635,0,0.299979764327582,0.912098550248972,0,0,3,0,0,3
"IDN",536,"Indonesia",0.103302086776129,0.0448719620507458,0.149829164403138,-0.0781030480814552,0.900281036580046,0.0932180780128,0.00559134741192995,0.040813682407699,0.090703176312254,0.0406764013945949,0.267785582236558,1.11022302462516e-15,0.00024155386098923,0.389191815856108,0,0,3,3,0,3
